"Grand Manan and Coastal Charlotte County | Grand Manan et le littoral du comté de Charlotte; CMML : 'TRANSMIT.FPHX14.01.05.0255Z.AMD.xml'; Time zone | Fuseau horaire : Canada/Atlantic","Valid time | Heure de validité;Cloud cover (tenth) | Couverture nuageuse (dixième)"
2020-01-05T02:00:00Z,10
2020-01-05T03:00:00Z,10
2020-01-05T04:00:00Z,10
2020-01-05T05:00:00Z,10
2020-01-05T06:00:00Z,10
2020-01-05T07:00:00Z,10
2020-01-05T08:00:00Z,10
2020-01-05T09:00:00Z,10
2020-01-05T10:00:00Z,10
2020-01-05T11:00:00Z,10
2020-01-05T12:00:00Z,10
2020-01-05T13:00:00Z,10
2020-01-05T14:00:00Z,10
2020-01-05T15:00:00Z,10
2020-01-05T16:00:00Z,10
2020-01-05T17:00:00Z,10
2020-01-05T18:00:00Z,10
2020-01-05T19:00:00Z,10
2020-01-05T20:00:00Z,10
2020-01-05T21:00:00Z,10
2020-01-05T22:00:00Z,10
2020-01-05T23:00:00Z,10
2020-01-06T00:00:00Z,8
2020-01-06T01:00:00Z,8
2020-01-06T02:00:00Z,8
2020-01-06T03:00:00Z,8
2020-01-06T04:00:00Z,7
2020-01-06T05:00:00Z,6
2020-01-06T06:00:00Z,5
2020-01-06T07:00:00Z,3
2020-01-06T08:00:00Z,2
2020-01-06T09:00:00Z,0
